Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
PERSON.RACE_EN,"Full descriptive terms for racial or ethnic categories used in demographic analysis, census data, and diversity reporting in English language contexts.","This type captures racial and ethnic designations as they appear in demographic surveys, census forms, and diversity analysis using complete descriptive terminology. The values represent standard racial and ethnic categories following established demographic classification systems with full English language terms.","This type captures racial and ethnic designations as they appear in demographic surveys, census forms, and diversity analysis using complete descriptive terminology. The values represent standard racial and ethnic categories following established demographic classification systems with full English language terms.","A text field containing racial and ethnic terms that follow standard demographic category terminology and use proper case formatting for established classification systems. The format consists of alphabetic characters representing recognized racial and ethnic designations as commonly used in official demographic and census contexts.","racial_category: full descriptive ethnic or racial group designation","racial_category: full descriptive ethnic or racial group designation",White; Black; Asian,W; B; Race,Race; Ethnicity; Racial Group,Race Code; Nationality; Country
PERSON.YEAR_OF_BIRTH,"The calendar year in which a person was born, used for age calculation, generational analysis, and demographic categorization.","This type captures birth years as they appear in demographic data, personal records, and age-related analysis using four-digit year notation. The values represent the year component of birth dates without month or day information, typically following standard calendar year formatting conventions.","This type captures birth years as they appear in demographic data, personal records, and age-related analysis using four-digit year notation. The values represent the year component of birth dates without month or day information, typically following standard calendar year formatting conventions.","A numeric field containing birth years that follow the pattern ^\d{4}$ consisting of exactly four digits representing calendar years. The format uses standard four-digit year notation typically ranging from approximately 1900 to the current year for living persons.","birth_year: four-digit calendar year of person's birth","birth_year: four-digit calendar year of person's birth",1990; 1985; 1992,25; 1990-05-15; Birth Year,Birth Year; Year Born; Year of Birth,Age; Date of Birth; Current Year
POSTAL_CODE.POSTAL_CODE_AU,"A four-digit numerical code used by Australia Post to identify geographic delivery areas for mail sorting and distribution across Australia.","This type identifies Australian postal codes as they appear in addressing and mail delivery systems throughout Australia. The codes consist of exactly four numerical digits assigned to specific geographic regions, suburbs, and localities for efficient mail processing and delivery routing.","This type identifies Australian postal codes as they appear in addressing and mail delivery systems throughout Australia. The codes consist of exactly four numerical digits assigned to specific geographic regions, suburbs, and localities for efficient mail processing and delivery routing.","A postal identifier following the pattern ^\d{4}$ consisting of exactly four consecutive numerical digits. The format represents Australian postcode structure with digits ranging appropriately for different states and territories, typically from 1000-9999 depending on geographic location.","aussie_postcode: 4-digit mail delivery area identifier","aussie_postcode: 4-digit mail delivery area identifier",2000; 3000; 4000,90210; SW1A 1AA; Postal Code,Postal Code; Postcode; ZIP,City; State; Address
POSTAL_CODE.POSTAL_CODE_BG,"A four-digit numerical code used by Bulgarian postal services to identify delivery areas and facilitate mail distribution throughout Bulgaria.","This type identifies Bulgarian postal codes as they appear in addressing and mail delivery systems within Bulgaria. The codes consist of exactly four numerical digits assigned to specific cities, regions, and postal delivery areas for efficient mail processing and routing.","This type identifies Bulgarian postal codes as they appear in addressing and mail delivery systems within Bulgaria. The codes consist of exactly four numerical digits assigned to specific cities, regions, and postal delivery areas for efficient mail processing and routing.","A postal identifier following the pattern ^\d{4}$ consisting of exactly four consecutive numerical digits. The format represents Bulgarian postal code structure with systematic numbering for different regions and municipalities throughout the country.","bulgarian_postcode: 4-digit regional mail sorting identifier","bulgarian_postcode: 4-digit regional mail sorting identifier",1000; 4000; 8000,90210; SW1A 1AA; Postal Code,Пощенски код; Postal Code; Code,Град; City; Address
POSTAL_CODE.POSTAL_CODE_CA,"A six-character alphanumeric identifier used by Canada Post to designate specific geographic delivery areas across Canada, formatted with a space separator.","This type identifies Canadian postal codes as they appear in addressing and mail delivery systems throughout Canada. The codes follow a specific pattern of alternating letters and numbers in six characters, formatted with a space between the third and fourth characters for readability.","This type identifies Canadian postal codes as they appear in addressing and mail delivery systems throughout Canada. The codes follow a specific pattern of alternating letters and numbers in six characters, formatted with a space between the third and fourth characters for readability.","A postal identifier following the pattern ^[A-Z]\d[A-Z] \d[A-Z]\d$ with alternating letters and numbers in a letter-digit-letter space digit-letter-digit format. The format uses uppercase letters and single digits with a mandatory space separator between the first three and last three characters.","canadian_postal: letter-number pattern with space for delivery areas","canadian_postal: letter-number pattern with space for delivery areas",K1A 0A6; M5V 3A8; V6B 4N8,90210; 10001; Postal Code,Postal Code; Postcode; Canadian ZIP,City; Province; Address
POSTAL_CODE.POSTAL_CODE_CO,"A six-digit numerical code used by the Colombian postal system to identify specific delivery areas and facilitate mail distribution throughout Colombia.","This type identifies Colombian postal codes as they appear in addressing and mail delivery systems within Colombia. The codes consist of exactly six numerical digits assigned to specific cities, departments, and postal delivery zones for efficient mail processing and routing.","This type identifies Colombian postal codes as they appear in addressing and mail delivery systems within Colombia. The codes consist of exactly six numerical digits assigned to specific cities, departments, and postal delivery zones for efficient mail processing and routing.","A postal identifier following the pattern ^\d{6}$ consisting of exactly six consecutive numerical digits. The format represents Colombian postal code structure with systematic numbering for different departments and municipalities throughout the country.","colombian_zip: 6-digit departmental mail delivery identifier","colombian_zip: 6-digit departmental mail delivery identifier",110111; 050001; 760001,90210; SW1A 1AA; Postal Code,Código Postal; Postal Code; ZIP,Ciudad; City; Address
POSTAL_CODE.POSTAL_CODE_DE,"A five-digit numerical code used by Deutsche Post to identify delivery areas and facilitate mail distribution throughout Germany.","This type identifies German postal codes (Postleitzahl) as they appear in addressing and mail delivery systems within Germany. The codes consist of exactly five numerical digits assigned to specific cities, districts, and postal delivery areas following the German postal system structure.","This type identifies German postal codes (Postleitzahl) as they appear in addressing and mail delivery systems within Germany. The codes consist of exactly five numerical digits assigned to specific cities, districts, and postal delivery areas following the German postal system structure.","A postal identifier following the pattern ^\d{5}$ consisting of exactly five consecutive numerical digits. The format represents German postal code structure with systematic geographic numbering where the first digit indicates the postal region and subsequent digits narrow down to specific delivery areas.","german_plz: 5-digit regional mail sorting code","german_plz: 5-digit regional mail sorting code",10115; 80331; 20095,90210; SW1A 1AA; Postal Code,Postleitzahl; PLZ; Postal Code,Stadt; City; Address
POSTAL_CODE.POSTAL_CODE_ES,"Spanish postal codes used for mail delivery and location identification within Spain. These five-digit codes are assigned by the Spanish postal service to designate specific geographic areas.","This type represents postal codes used within Spain's postal system for mail sorting and delivery. The format consists of exactly five consecutive numeric digits with no spaces, letters, or special characters.","This type represents postal codes used within Spain's postal system for mail sorting and delivery. The format consists of exactly five consecutive numeric digits with no spaces, letters, or special characters.","This type follows the pattern ^[0-9]{5}$ representing Spanish postal codes consisting of exactly five digits. The format consists of exactly five consecutive numeric digits with no spaces, letters, or special characters.","Spain ZIP: five consecutive numbers","Spain ZIP: five consecutive numbers",28001; 08001; 41001,90210; SW1A 1AA; Postal Code,Código Postal; CP; Postal Code,Ciudad; City; Address
POSTAL_CODE.POSTAL_CODE_FR,"French postal codes utilized by La Poste for mail routing and geographic identification throughout France. These standardized five-digit numerical codes enable precise location targeting within French territories.","This type identifies French postal codes used for mail delivery across France and its territories. The structure requires exactly five numeric digits arranged consecutively without any separators, alphabetic characters, or formatting.","This type identifies French postal codes used for mail delivery across France and its territories. The structure requires exactly five numeric digits arranged consecutively without any separators, alphabetic characters, or formatting.","This type matches the regex pattern ^[0-9]{5}$ for French postal code identification consisting of exactly five digits. The structure requires exactly five numeric digits arranged consecutively without any separators, alphabetic characters, or formatting.","French mail code: five digit sequence","French mail code: five digit sequence",75001; 69001; 13001,90210; SW1A 1AA; Postal Code,Code Postal; CP; Postal Code,Ville; City; Address
POSTAL_CODE.POSTAL_CODE_IN,"Indian PIN codes used by India Post for mail sorting and delivery across the country. These six-digit numerical identifiers help organize postal delivery to specific geographic regions within India.","This type represents Indian Postal Index Numbers used for mail routing throughout India. The format requires exactly six consecutive numeric digits without spaces, hyphens, or any non-numeric characters.","This type represents Indian Postal Index Numbers used for mail routing throughout India. The format requires exactly six consecutive numeric digits without spaces, hyphens, or any non-numeric characters.","This type follows the regex pattern ^[0-9]{6}$ representing Indian PIN codes as exactly six consecutive digits. The format requires exactly six consecutive numeric digits without spaces, hyphens, or any non-numeric characters.","India PIN: six digit postal identifier","India PIN: six digit postal identifier",110001; 400001; 700001,90210; SW1A 1AA; Postal Code,PIN Code; Postal Code; ZIP,City; State; Address
POSTAL_CODE.POSTAL_CODE_JA,"Japanese postal codes employed by Japan Post for mail delivery and location identification throughout Japan. These seven-digit codes are formatted with a hyphen separator to facilitate mail processing and geographic routing.","This type captures Japanese postal codes used for mail distribution across Japan. The format consists of three digits, followed by a hyphen, then four more digits, creating a seven-digit code with mandatory hyphen separation.","This type captures Japanese postal codes used for mail distribution across Japan. The format consists of three digits, followed by a hyphen, then four more digits, creating a seven-digit code with mandatory hyphen separation.","This type matches the regex pattern ^[0-9]{3}-[0-9]{4}$ representing Japanese postal codes with hyphen formatting. The format consists of three digits, followed by a hyphen, then four more digits, creating a seven-digit code with mandatory hyphen separation.","Japan postcode: three digits, hyphen, four digits","Japan postcode: three digits, hyphen, four digits",100-0001; 150-0001; 530-0001,90210; SW1A 1AA; Postal Code,郵便番号; Postal Code; ZIP Code,都市; City; Address
POSTAL_CODE.POSTAL_CODE_MX,"Mexican postal codes utilized by Correos de México for mail distribution and geographic identification throughout Mexico. These five-digit numerical codes facilitate efficient mail routing to specific locations within Mexican territory.","This type represents postal codes used within Mexico's national postal system for mail delivery services. The format consists of exactly five consecutive numeric digits with no spaces, letters, hyphens, or other formatting characters.","This type represents postal codes used within Mexico's national postal system for mail delivery services. The format consists of exactly five consecutive numeric digits with no spaces, letters, hyphens, or other formatting characters.","This type conforms to the regex pattern ^[0-9]{5}$ representing Mexican postal codes as five consecutive digits. The format consists of exactly five consecutive numeric digits with no spaces, letters, hyphens, or other formatting characters.","Mexico ZIP: five numeric digits","Mexico ZIP: five numeric digits",01000; 06600; 64000,90210; SW1A 1AA; Postal Code,Código Postal; CP; Postal Code,Ciudad; City; Address
POSTAL_CODE.POSTAL_CODE_NL,"Dutch postal codes used by PostNL for mail sorting and delivery throughout the Netherlands. These alphanumeric codes combine four digits with two letters and a space to create precise geographic identification.","This type identifies postal codes used in the Netherlands postal system for mail routing and delivery. The structure consists of four digits, followed by a single space, then two uppercase letters without additional formatting.","This type identifies postal codes used in the Netherlands postal system for mail routing and delivery. The structure consists of four digits, followed by a single space, then two uppercase letters without additional formatting.","This type matches the regex pattern ^[0-9]{4} [A-Z]{2}$ for Dutch postal codes with space separation. The structure consists of four digits, followed by a single space, then two uppercase letters without additional formatting.","Netherlands postcode: four digits, space, two letters","Netherlands postcode: four digits, space, two letters",1012 JS; 2000 AA; 3000 BB,90210; SW1A 1AA; Postal Code,Postcode; Postal Code; ZIP,Stad; City; Address
POSTAL_CODE.POSTAL_CODE_PT,"Portuguese postal codes managed by CTT for mail delivery and location identification across Portugal. These seven-digit codes are formatted with a hyphen to separate the main postal area from the specific delivery zone.","This type represents postal codes used within Portugal's postal system for mail routing and delivery. The format consists of four digits, followed by a hyphen, then three additional digits creating a structured seven-digit identifier.","This type represents postal codes used within Portugal's postal system for mail routing and delivery. The format consists of four digits, followed by a hyphen, then three additional digits creating a structured seven-digit identifier.","This type follows the regex pattern ^[0-9]{4}-[0-9]{3}$ representing Portuguese postal codes with hyphen formatting. The format consists of four digits, followed by a hyphen, then three additional digits creating a structured seven-digit identifier.","Portugal postal: four digits, hyphen, three digits","Portugal postal: four digits, hyphen, three digits",1000-001; 4000-001; 8000-001,90210; SW1A 1AA; Postal Code,Código Postal; CP; Postal Code,Cidade; City; Address
POSTAL_CODE.POSTAL_CODE_SE,"Swedish postal codes utilized by PostNord for mail distribution and geographic identification throughout Sweden. These five-digit codes are formatted with a space between the third and fourth digits for improved readability.","This type identifies postal codes used within Sweden's postal system for mail sorting and delivery services. The structure consists of three digits, followed by a single space, then two additional digits without other formatting.","This type identifies postal codes used within Sweden's postal system for mail sorting and delivery services. The structure consists of three digits, followed by a single space, then two additional digits without other formatting.","This type matches the regex pattern ^[0-9]{3} [0-9]{2}$ for Swedish postal codes with space formatting. The structure consists of three digits, followed by a single space, then two additional digits without other formatting.","Sweden postcode: three digits, space, two digits","Sweden postcode: three digits, space, two digits",111 29; 413 01; 405 30,90210; SW1A 1AA; Postal Code,Postnummer; Postal Code; ZIP,Stad; City; Address
POSTAL_CODE.POSTAL_CODE_UK,"United Kingdom postcodes used by Royal Mail for mail delivery and precise location identification across England, Scotland, Wales, and Northern Ireland. These alphanumeric codes combine letters and numbers with specific formatting to enable accurate geographic targeting.","This type captures UK postcodes used for mail routing throughout the United Kingdom postal system. The format includes an outward code of letters and numbers, followed by a space, then an inward code of one digit and two letters.","This type captures UK postcodes used for mail routing throughout the United Kingdom postal system. The format includes an outward code of letters and numbers, followed by a space, then an inward code of one digit and two letters.","This type conforms to the regex pattern ^[A-Z]{1,2}[0-9]{1,2}[A-Z]? [0-9][A-Z]{2}$ for UK postcode formatting with space separation. The format includes an outward code of letters and numbers, followed by a space, then an inward code of one digit and two letters.","UK postcode: area code, space, local identifier","UK postcode: area code, space, local identifier",SW1A 1AA; M1 1AA; B33 8TH,90210; 10001; Postal Code,Postcode; Post Code; UK ZIP,City; County; Address
POSTAL_CODE.POSTAL_CODE_UY,"Uruguayan postal codes used by Correo Uruguayo for mail delivery and location identification throughout Uruguay. These five-digit numerical codes help organize postal distribution to specific geographic areas within the country.","This type represents postal codes used within Uruguay's postal system for mail routing and delivery services. The format consists of exactly five consecutive numeric digits without spaces, hyphens, or any non-numeric formatting characters.","This type represents postal codes used within Uruguay's postal system for mail routing and delivery services. The format consists of exactly five consecutive numeric digits without spaces, hyphens, or any non-numeric formatting characters.","This type matches the regex pattern ^[0-9]{5}$ representing Uruguayan postal codes as five consecutive digits. The format consists of exactly five consecutive numeric digits without spaces, hyphens, or any non-numeric formatting characters.","Uruguay postal: five consecutive digits","Uruguay postal: five consecutive digits",11000; 20000; 30000,90210; SW1A 1AA; Postal Code,Código Postal; CP; Postal Code,Ciudad; City; Address
POSTAL_CODE.ZIP5_PLUS4_US,"United States ZIP+4 codes used by USPS for enhanced mail delivery precision and routing efficiency. These extended postal codes combine the standard five-digit ZIP with an additional four-digit segment for more specific location targeting.","This type captures extended US postal codes used for precise mail delivery within the United States Postal Service system. The format consists of five digits, followed by a hyphen, then four additional digits creating a nine-digit postal identifier.","This type captures extended US postal codes used for precise mail delivery within the United States Postal Service system. The format consists of five digits, followed by a hyphen, then four additional digits creating a nine-digit postal identifier.","This type follows the regex pattern ^[0-9]{5}-[0-9]{4}$ representing US ZIP+4 codes with hyphen formatting. The format consists of five digits, followed by a hyphen, then four additional digits creating a nine-digit postal identifier.","US extended ZIP: five digits, hyphen, four digits","US extended ZIP: five digits, hyphen, four digits",90210-1234; 10001-5678; 60601-9012,90210; SW1A 1AA; ZIP Code,ZIP+4; ZIP Code; Extended ZIP,City; State; ZIP Code
POSTAL_CODE.ZIP5_US,"United States ZIP codes utilized by USPS for mail sorting and delivery across all states and territories. These five-digit numerical codes serve as the primary postal identifier for geographic areas within the US postal system.","This type represents standard US postal codes used for mail routing throughout the United States Postal Service network. The format consists of exactly five consecutive numeric digits without spaces, hyphens, or any additional formatting characters.","This type represents standard US postal codes used for mail routing throughout the United States Postal Service network. The format consists of exactly five consecutive numeric digits without spaces, hyphens, or any additional formatting characters.","This type conforms to the regex pattern ^[0-9]{5}$ representing US ZIP codes as five consecutive digits. The format consists of exactly five consecutive numeric digits without spaces, hyphens, or any additional formatting characters.","US ZIP: five digit postal code","US ZIP: five digit postal code",90210; 10001; 60601,90210-1234; SW1A 1AA; ZIP Code,ZIP Code; ZIP; Postal Code,City; State; ZIP+4
SPATIAL.GEOJSON,"GeoJSON geometric objects used for representing spatial data in geographic information systems and web mapping applications. These standardized JSON structures encode geographic features including points, lines, and polygons with coordinate information.","This type identifies GeoJSON formatted geometric objects used for spatial data representation in mapping and GIS applications. The structure follows JSON formatting with required type and coordinates fields, containing arrays of numeric coordinate pairs for geographic positioning.","This type identifies GeoJSON formatted geometric objects used for spatial data representation in mapping and GIS applications. The structure follows JSON formatting with required type and coordinates fields, containing arrays of numeric coordinate pairs for geographic positioning.","This type matches GeoJSON format patterns with structure like ^{type:(Point|LineString|Polygon),coordinates:\[.*\]}$ for geographic data encoding. The structure follows JSON formatting with required type and coordinates fields, containing arrays of numeric coordinate pairs for geographic positioning.","geo coordinates: JSON formatted spatial geometry","geo coordinates: JSON formatted spatial geometry","{""type"":""Point"",""coordinates"":[-74.006,40.7128]}; {""type"":""LineString"",""coordinates"":[[-74.006,40.7128],[-74.007,40.7129]]}; {""type"":""Polygon"",""coordinates"":[[[-74.006,40.7128],[-74.007,40.7129],[-74.008,40.7130]]]}","40.7128, -74.006; POINT(-74.006 40.7128); Coordinates",GeoJSON; Spatial Data; Geographic Data,Coordinates; Address; Location Name
SPATIAL.WKT,"Well-Known Text representations used for describing geometric objects in spatial databases and GIS applications. These standardized text formats encode spatial geometries using coordinate sequences within predefined geometric type structures.","This type represents Well-Known Text formatted spatial geometries used in geographic information systems and spatial databases. The format begins with a geometry type keyword followed by parentheses containing coordinate values separated by spaces and commas.","This type represents Well-Known Text formatted spatial geometries used in geographic information systems and spatial databases. The format begins with a geometry type keyword followed by parentheses containing coordinate values separated by spaces and commas.","This type follows the regex pattern ^(POINT|LINESTRING|POLYGON)\(.*\)$ for Well-Known Text geometric formatting with coordinate sequences. The format begins with a geometry type keyword followed by parentheses containing coordinate values separated by spaces and commas.","spatial geometry: text-based coordinate format","spatial geometry: text-based coordinate format","POINT(-74.006 40.7128); LINESTRING(-74.006 40.7128, -74.007 40.7129); POLYGON((-74.006 40.7128, -74.007 40.7129, -74.008 40.7130, -74.006 40.7128))","40.7128, -74.006; {""type"":""Point"",""coordinates"":[-74.006,40.7128]}; Coordinates",WKT; Well Known Text; Spatial Geometry,GeoJSON; Coordinates; Address
SSN,"United States Social Security Numbers issued by the Social Security Administration for identification and benefits tracking. These nine-digit identifiers are formatted with hyphens to separate the area, group, and serial number components for citizen identification.","This type represents US Social Security Numbers used for individual identification and government benefit administration. The format consists of three digits, followed by a hyphen, two digits, another hyphen, then four final digits creating a structured nine-digit identifier.","This type represents US Social Security Numbers used for individual identification and government benefit administration. The format consists of three digits, followed by a hyphen, two digits, another hyphen, then four final digits creating a structured nine-digit identifier.","This type follows the regex pattern ^[0-9]{3}-[0-9]{2}-[0-9]{4}$ representing Social Security Numbers with hyphen formatting. The format consists of three digits, followed by a hyphen, two digits, another hyphen, then four final digits creating a structured nine-digit identifier.","social security ID: three digits, hyphen, two digits, hyphen, four digits","social security ID: three digits, hyphen, two digits, hyphen, four digits",123-45-6789; 987-65-4321; 555-66-7777,123456789; SSN123; Social Security,SSN; Social Security Number; Social Security,Name; Date of Birth; Tax ID
STATE_PROVINCE.CANTON_CH,"Swiss canton codes used for administrative and postal identification of the 26 federal states within Switzerland. These standardized two-letter abbreviations enable efficient reference to specific cantonal jurisdictions in government and business processes.","This type represents official Swiss canton codes used for identifying federal states within Switzerland's administrative system. The format consists of exactly two uppercase letters derived from the canton names without spaces, numbers, or special characters.","This type represents official Swiss canton codes used for identifying federal states within Switzerland's administrative system. The format consists of exactly two uppercase letters derived from the canton names without spaces, numbers, or special characters.","This type matches the regex pattern ^[A-Z]{2}$ representing Swiss canton codes as two uppercase letters. The format consists of exactly two uppercase letters derived from the canton names without spaces, numbers, or special characters.","Swiss region: two letter canton abbreviation","Swiss region: two letter canton abbreviation",ZH; BE; VD,Zurich; CH; Canton,Canton Code; Kanton; Canton,Canton Name; Country; City
STATE_PROVINCE.CANTON_NAME_CH,"Swiss canton names representing the official designations of the 26 federal states within Switzerland. These geographic administrative divisions serve as primary political and territorial units in the Swiss federal system.","This type identifies official Swiss canton names used to designate the federal states within Switzerland's political structure. The format consists of proper noun text strings representing the full canton names in their official language without abbreviations or codes.","This type identifies official Swiss canton names used to designate the federal states within Switzerland's political structure. The format consists of proper noun text strings representing the full canton names in their official language without abbreviations or codes.","This type follows text patterns like ^[A-ZÀ-ÖØ-ß][a-zà-öø-ÿ]+(\s[A-ZÀ-ÖØ-ß][a-zà-öø-ÿ]+)*$ for Swiss canton names with proper capitalization. The format consists of proper noun text strings representing the full canton names in their official language without abbreviations or codes.","Swiss state: full canton name","Swiss state: full canton name",Zürich; Bern; Vaud,ZH; Switzerland; Canton,Kanton; Canton Name; Canton,Canton Code; Country; City
STATE_PROVINCE.COMMUNE_IT,"Italian commune names representing the basic administrative divisions within Italy's municipal system. These local government units serve as the primary territorial entities for municipal services and local administration throughout Italian provinces.","This type identifies Italian commune names used for municipal identification within Italy's administrative structure. The format consists of proper noun text strings representing official commune names in Italian without abbreviations or special formatting.","This type identifies Italian commune names used for municipal identification within Italy's administrative structure. The format consists of proper noun text strings representing official commune names in Italian without abbreviations or special formatting.","This type follows text patterns like ^[A-ZÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝ][a-zàáâãäåæçèéêëìíîïðñòóôõöøùúûüýÿ]+(\s[A-ZÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝ][a-zàáâãäåæçèéêëìíîïðñòóôõöøùúûüýÿ]+)*$ for Italian commune names. The format consists of proper noun text strings representing official commune names in Italian without abbreviations or special formatting.","Italian municipality: commune name","Italian municipality: commune name",Roma; Milano; Napoli,RM; Italy; Commune,Comune; Commune; Municipality,Province; Region; Country
STATE_PROVINCE.COUNTY_FIPS_US,"United States county FIPS codes used by federal agencies for statistical and administrative identification of counties. These five-digit numerical codes provide standardized reference numbers for all counties within the US governmental data systems.","This type represents US county FIPS codes used for federal statistical identification and data processing of American counties. The format consists of exactly five consecutive numeric digits with no spaces, letters, or special characters for standardized county referencing.","This type represents US county FIPS codes used for federal statistical identification and data processing of American counties. The format consists of exactly five consecutive numeric digits with no spaces, letters, or special characters for standardized county referencing.","This type matches the regex pattern ^[0-9]{5}$ representing US county FIPS codes as five consecutive digits. The format consists of exactly five consecutive numeric digits with no spaces, letters, or special characters for standardized county referencing.","US county code: five digit FIPS identifier","US county code: five digit FIPS identifier",36061; 06037; 17031,New York County; Los Angeles; County,County FIPS; FIPS Code; County Code,County Name; State; City
STATE_PROVINCE.COUNTY_HU,"Hungarian county names representing the administrative divisions within Hungary's territorial organization system. These megyék serve as primary regional units for government administration and statistical reporting throughout the Hungarian state.","This type identifies Hungarian county names used for administrative identification within Hungary's governmental structure. The format consists of proper noun text strings representing official county names in Hungarian without abbreviations or special formatting characters.","This type identifies Hungarian county names used for administrative identification within Hungary's governmental structure. The format consists of proper noun text strings representing official county names in Hungarian without abbreviations or special formatting characters.","This type follows text patterns like ^[A-ZÁÉÍÓÖŐÚÜŰ][a-záéíóöőúüű]+(\s[A-ZÁÉÍÓÖŐÚÜŰ][a-záéíóöőúüű]+)*(-[A-ZÁÉÍÓÖŐÚÜŰ][a-záéíóöőúüű]+)*$ for Hungarian county names with proper capitalization. The format consists of proper noun text strings representing official county names in Hungarian without abbreviations or special formatting characters.","Hungarian region: county administrative name","Hungarian region: county administrative name",Budapest; Pest; Bács-Kiskun,HU; Hungary; County,Megye; County; Hungarian County,Country; City; Region
STATE_PROVINCE.COUNTY_IE,"Irish county names representing the traditional administrative divisions within Ireland's territorial organization. These historic counties serve as fundamental geographic and administrative units for both the Republic of Ireland and Northern Ireland.","This type identifies Irish county names used for geographic and administrative identification throughout Ireland. The format consists of proper noun text strings representing official county names in English without abbreviations, prefixes, or special formatting.","This type identifies Irish county names used for geographic and administrative identification throughout Ireland. The format consists of proper noun text strings representing official county names in English without abbreviations, prefixes, or special formatting.","This type follows text patterns like ^[A-Z][a-z]+(\s[A-Z][a-z]+)*$ for Irish county names with proper capitalization. The format consists of proper noun text strings representing official county names in English without abbreviations, prefixes, or special formatting.","Irish region: traditional county name","Irish region: traditional county name",Dublin; Cork; Kerry,IE; Ireland; County,County; Irish County; County Name,Country; Province; City
STATE_PROVINCE.COUNTY_UK,"United Kingdom county names representing the ceremonial and administrative divisions across England, Scotland, Wales, and Northern Ireland. These historic counties serve as important geographic and administrative reference units within the UK governmental system.","This type identifies UK county names used for administrative and geographic identification throughout the United Kingdom. The format consists of proper noun text strings representing official county names in English without abbreviations or special formatting characters.","This type identifies UK county names used for administrative and geographic identification throughout the United Kingdom. The format consists of proper noun text strings representing official county names in English without abbreviations or special formatting characters.","This type follows text patterns like ^[A-Z][a-z]+(\s[A-Z][a-z]+)*$ for UK county names with proper capitalization. The format consists of proper noun text strings representing official county names in English without abbreviations or special formatting characters.","UK territory: historic county designation","UK territory: historic county designation",Yorkshire; Lancashire; Kent,GB; United Kingdom; County,County; UK County; County Name,Country; Region; City
STATE_PROVINCE.COUNTY_US,"United States county names representing the primary administrative subdivisions within US states for local government services. These county jurisdictions serve as fundamental territorial units for law enforcement, taxation, and municipal services across American states.","This type identifies US county names used for local administrative identification within American state governmental systems. The format consists of proper noun text strings representing official county names in English, often including the word 'County' as part of the designation.","This type identifies US county names used for local administrative identification within American state governmental systems. The format consists of proper noun text strings representing official county names in English, often including the word 'County' as part of the designation.","This type follows text patterns like ^[A-Z][a-z]+(\s[A-Z][a-z]+)*\s(County|Parish)$ for US county names with proper capitalization. The format consists of proper noun text strings representing official county names in English, often including the word 'County' as part of the designation.","US subdivision: local county jurisdiction","US subdivision: local county jurisdiction",Los Angeles County; Cook County; Harris County,CA; 36061; County,County; County Name; US County,State; FIPS Code; City
STATE_PROVINCE.DEPARTMENT_CO,"Colombian department names representing the primary administrative divisions within Colombia's federal structure. These departamentos serve as major territorial units for regional government, public services, and administrative coordination throughout the Colombian territory.","This type identifies Colombian department names used for regional administrative identification within Colombia's governmental structure. The format consists of proper noun text strings representing official department names in Spanish without abbreviations or special formatting characters.","This type identifies Colombian department names used for regional administrative identification within Colombia's governmental structure. The format consists of proper noun text strings representing official department names in Spanish without abbreviations or special formatting characters.","This type follows text patterns like ^[A-ZÁÉÍÓÚÑÜ][a-záéíóúñü]+(\s[A-ZÁÉÍÓÚÑÜ][a-záéíóúñü]+)*(\sdel\s[A-ZÁÉÍÓÚÑÜ][a-záéíóúñü]+)*$ for Colombian department names. The format consists of proper noun text strings representing official department names in Spanish without abbreviations or special formatting characters.","Colombian region: departmental administrative unit","Colombian region: departmental administrative unit",Cundinamarca; Antioquia; Valle del Cauca,CO; Colombia; Department,Departamento; Department; Colombian Department,Country; Municipality; City
STATE_PROVINCE.DEPARTMENT_NAME_FR,"French department names representing the administrative divisions within France's territorial organization system. These départements serve as primary units for local government administration, public services, and regional coordination throughout French territory.","This type identifies French department names used for administrative identification within France's governmental structure. The format consists of proper noun text strings representing official department names in French without abbreviations or numerical codes.","This type identifies French department names used for administrative identification within France's governmental structure. The format consists of proper noun text strings representing official department names in French without abbreviations or numerical codes.","This type follows text patterns like ^[A-ZÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝ][a-zàáâãäåæçèéêëìíîïðñòóôõöøùúûüýÿ]+(-[A-ZÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖØÙÚÛÜÝ][a-zàáâãäåæçèéêëìíîïðñòóôõöøùúûüýÿ]+)*$ for French department names. The format consists of proper noun text strings representing official department names in French without abbreviations or numerical codes.","French territory: departmental administrative division","French territory: departmental administrative division",Paris; Bouches-du-Rhône; Nord,75; France; Department,Département; Department; French Department,Country; Region; City
